,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
27,1.0,10017,POINT (-73.97356771683344 40.75406787555062),-73.97356771683344,40.754067875550625,17,3808,43083.5505189,44952037.8009
28,2.0,10457,POINT (-73.91008714449384 40.84400191175045),-73.91008714449384,40.844001911750446,6,3707,37374.595308,42281071.5105
29,5.0,10308,POINT (-74.15111164313684 40.55242326280796),-74.15111164313684,40.55242326280796,20,3901,189931.874969,571035855.977
30,1.0,10002,POINT (-73.97942314417445 40.71978015438276),-73.97942314417445,40.71978015438276,18,3809,36351.6176183,48695493.6207
31,1.0,10031,POINT (-73.94803241890192 40.82567237379984),-73.94803241890192,40.82567237379984,11,3802,37927.824564,46903009.3879
32,1.0,10027,POINT (-73.94331559838257 40.80616044207548),-73.94331559838257,40.80616044207548,12,3803,38111.6886704,39843953.7438
33,2.0,10452,POINT (-73.92355090156951 40.83796001685504),-73.92355090156951,40.837960016855035,7,3708,35002.7055809,55881067.7537
34,1.0,10014,POINT (-74.00533101445356 40.72998291458653),-74.00533101445356,40.72998291458653,19,3810,122526.958548,81024704.0028
35,5.0,10312,POINT (-74.19322900650182 40.53407849308034),-74.19322900650182,40.534078493080344,20,3901,189931.874969,571035855.977
36,2.0,10459,POINT (-73.89413216580388 40.81867008718861),-73.89413216580388,40.818670087188615,9,3710,90067.9543636,137760289.541
37,1.0,10034,POINT (-73.92586290917251 40.86574872073702),-73.92586290917251,40.865748720737024,10,3801,62589.0551493,81247268.6263
38,1.0,10011,POINT (-73.99916928513315 40.73463470830847),-73.99916928513315,40.73463470830847,19,3810,122526.958548,81024704.0028
39,2.0,10468,POINT (-73.90119235962918 40.86906986689302),-73.90119235962918,40.86906986689302,0,3701,53227.1136077,97928516.6801
40,2.0,10463,POINT (-73.90770595199646 40.88069989038004),-73.90770595199646,40.88069989038004,0,3701,53227.1136077,97928516.6801
41,1.0,10016,POINT (-73.97990195853163 40.74380962013242),-73.97990195853163,40.74380962013242,17,3808,43083.5505189,44952037.8009
42,1.0,10039,POINT (-73.93586246250698 40.82653201339423),-73.93586246250698,40.82653201339423,12,3803,38111.6886704,39843953.7438
43,5.0,10303,POINT (-74.16658190502365 40.63469343184469),-74.16658190502365,40.63469343184469,22,3903,153890.524919,376477826.274
44,2.0,10451,POINT (-73.91758393603561 40.82658455897067),-73.91758393603561,40.826584558970666,7,3708,35002.7055809,55881067.7537
45,1.0,10016,POINT (-73.98169851078917 40.75189156171031),-73.98169851078917,40.75189156171031,17,3808,43083.5505189,44952037.8009
46,1.0,10025,POINT (-73.96477561597041 40.80613025800837),-73.96477561597041,40.80613025800837,11,3802,37927.824564,46903009.3879
47,2.0,10462,POINT (-73.85695785375374 40.84802911005552),-73.85695785375374,40.84802911005552,3,3704,47970.2030233,106216908.278
48,2.0,10456,POINT (-73.90179407206183 40.83126291201479),-73.90179407206183,40.83126291201479,4,3705,68697.5999192,122483690.262
49,2.0,10467,POINT (-73.87838435032448 40.87437981398938),-73.87838435032448,40.87437981398938,5,3706,51826.0737093,43886930.6821
50,2.0,10454,POINT (-73.92438195200242 40.81158963775246),-73.92438195200242,40.81158963775246,9,3710,90067.9543636,137760289.541
51,1.0,10011,POINT (-73.9959685690698 40.74448733065495),-73.9959685690698,40.74448733065495,16,3807,71863.8360436,85622064.5857
52,1.0,10012,POINT (-73.99568416859454 40.72413926605543),-73.99568416859454,40.72413926605543,19,3810,122526.958548,81024704.0028
53,1.0,10007,POINT (-74.00786921340098 40.71357685109021),-74.00786921340098,40.71357685109021,19,3810,122526.958548,81024704.0028
54,5.0,10306,POINT (-74.11195814748115 40.57193184836513),-74.11195814748115,40.57193184836513,21,3902,153372.622901,675481898.963
55,1.0,10023,POINT (-73.98454684522841 40.7735069911927),-73.98454684522841,40.7735069911927,15,3806,47538.4259936,88497862.2383
56,1.0,10003,POINT (-73.98774284104663 40.72890664078863),-73.98774284104663,40.72890664078863,18,3809,36351.6176183,48695493.6207
57,2.0,10462,POINT (-73.85835004816082 40.83378098529545),-73.85835004816082,40.83378098529545,8,3709,73288.7773801,124117768.897
58,2.0,10461,POINT (-73.82790017237492 40.84431752993152),-73.82790017237492,40.844317529931516,2,3703,305269.138803,267643637.839
59,2.0,10462,POINT (-73.8641466616336 40.85487588027384),-73.8641466616336,40.85487588027384,3,3704,47970.2030233,106216908.278
60,5.0,10302,POINT (-74.13110461508398 40.63758561600359),-74.13110461508398,40.63758561600359,22,3903,153890.524919,376477826.274
61,5.0,10306,POINT (-74.13853387646311 40.56653014621018),-74.13853387646311,40.566530146210184,20,3901,189931.874969,571035855.977
62,2.0,10471,POINT (-73.90277254280693 40.90372277707978),-73.90277254280693,40.90372277707978,0,3701,53227.1136077,97928516.6801
63,1.0,10023,POINT (-73.98451216196563 40.77423207861022),-73.98451216196563,40.77423207861022,15,3806,47538.4259936,88497862.2383
64,1.0,10044,POINT (-73.95020567413508 40.76123275727826),-73.95020567413508,40.76123275727826,14,3805,54449.5033787,55222267.9563
65,1.0,10037,POINT (-73.94094393837611 40.81464862404033),-73.94094393837611,40.81464862404033,12,3803,38111.6886704,39843953.7438
66,1.0,10016,POINT (-73.98300921762814 40.74811515837409),-73.98300921762814,40.74811515837409,16,3807,71863.8360436,85622064.5857
67,2.0,10453,POINT (-73.91749501730681 40.84944450629447),-73.9174950173068,40.849444506294475,6,3707,37374.595308,42281071.5105
68,1.0,10002,POINT (-73.98850101814436 40.71440955033492),-73.98850101814436,40.71440955033492,18,3809,36351.6176183,48695493.6207
69,2.0,10473,POINT (-73.86288995608042 40.81870935224863),-73.86288995608042,40.818709352248625,8,3709,73288.7773801,124117768.897
70,5.0,10305,POINT (-74.06298045409709 40.59580257046463),-74.06298045409709,40.59580257046463,21,3902,153372.622901,675481898.963
71,2.0,10463,POINT (-73.9146501854584 40.88628523559925),-73.9146501854584,40.88628523559925,0,3701,53227.1136077,97928516.6801
72,1.0,10024,POINT (-73.97745211592564 40.78483463670837),-73.97745211592564,40.784834636708375,15,3806,47538.4259936,88497862.2383
73,5.0,10301,POINT (-74.07667836343802 40.64179934831384),-74.07667836343802,40.64179934831384,22,3903,153890.524919,376477826.274
74,5.0,10304,POINT (-74.07786385638836 40.62625652229364),-74.07786385638836,40.626256522293644,22,3903,153890.524919,376477826.274
75,1.0,10018,POINT (-73.98223080385785 40.75320442290988),-73.98223080385785,40.75320442290988,16,3807,71863.8360436,85622064.5857
76,1.0,10022,POINT (-73.97254082689402 40.75680235018433),-73.97254082689402,40.75680235018433,17,3808,43083.5505189,44952037.8009
77,2.0,10465,POINT (-73.81909493682549 40.82287218481685),-73.8190949368255,40.82287218481685,2,3703,305269.138803,267643637.839
78,5.0,10314,POINT (-74.14852127833858 40.60960200172146),-74.14852127833858,40.60960200172146,22,3903,153890.524919,376477826.274
79,1.0,10009,POINT (-73.98042071146763 40.72728802667872),-73.98042071146763,40.72728802667872,18,3809,36351.6176183,48695493.6207
